[2023-08-30 11:14:57,766] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:14:57,799] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:14:57,799] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:14:57,807] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:14:57,834] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:14:57,834] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:14:57,869] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[11]/div/div/em')
[2023-08-30 11:14:57,869] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[11]/div/div/em')
[2023-08-30 11:15:00,964] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 11:15:03,147] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 11:15:04,376] test_episodes.py->test_add_file line:52 [INFO] 1111
[2023-08-30 11:15:04,376] base_page.py->get line:15 [INFO] Loading url: http://admintest.xczxwe.com/admin/login.html
[2023-08-30 11:15:06,857] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '/html/body/form/div[2]/input')
[2023-08-30 11:15:06,858] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[2]/input')
[2023-08-30 11:15:06,939] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '/html/body/form/div[3]/input')
[2023-08-30 11:15:06,939] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[3]/input')
[2023-08-30 11:15:06,990] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[5]/button')
[2023-08-30 11:15:06,990] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[5]/button')
[2023-08-30 11:15:08,038] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]')
[2023-08-30 11:15:08,038] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]')
[2023-08-30 11:15:11,872] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]/dl/dd[3]/a')
[2023-08-30 11:15:11,872] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]/dl/dd[3]/a')
[2023-08-30 11:15:11,935] base_page.py->goto_frame line:75 [INFO] Entering iframe: ('xpath', '//*[@id="364"]')
[2023-08-30 11:15:11,935] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="364"]')
[2023-08-30 11:15:12,023] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/div[2]/div/div/div[1]/div[1]/button[1]')
[2023-08-30 11:15:12,024] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/div[2]/div/div/div[1]/div[1]/button[1]')
[2023-08-30 11:15:12,826] base_page.py->goto_frame line:75 [INFO] Entering iframe: ('xpath', '//*[@id="layui-layer-iframe2"]')
[2023-08-30 11:15:12,826] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="layui-layer-iframe2"]')
[2023-08-30 11:15:12,874] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select')
[2023-08-30 11:15:12,874] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select')
[2023-08-30 11:15:13,477] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select/div[3]/div/div/div[1]/input')
[2023-08-30 11:15:13,478] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select/div[3]/div/div/div[1]/input')
[2023-08-30 11:15:13,527] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select/div[3]/div/div/div[2]/div[1]/div')
[2023-08-30 11:15:13,527] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select/div[3]/div/div/div[2]/div[1]/div')
[2023-08-30 11:15:13,627] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="name"]')
[2023-08-30 11:15:13,628] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="name"]')
